inicio_titulo,autor,summary,link,published
Aditamento a Parecer 3/2020,None,"DA COMISSÃO DE LEGISLAÇÃO E JUSTIÇA SOBRE A REANÁLISE DO PROJETO DE LEI (PLO) N.º 85/2018, QUE &#8220;DENOMINA A RUA ESTRADA DO BONGI, SITUADA NO MUNICÍPIO DO RECIFE, DE RUA ESTRADA DO BONGI ARMANDO DA FONTE&#8221;. EM RAZÃO DA APRESENTAÇÃO DO PARECER DO IAHGP. PELA APROVAÇÃO. *DELIBERADO ATRAVÉS DO SISTEMA DE DELIBERAÇÃO REMOTA (VIDE RESOLUÇÕES Nº 2728/20 E 2730/20)*",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=100369,31/08/2020
Aditamento a Parecer 2/2020,None,"DO MEMBRO DA COMISSÃO DE LEGISLAÇÃO E JUSTIÇA, VEREADOR AERTO LUNA, SOBRE O PARECER 68/2019, AO PROJETO DE LEI ORDINÁRIA (PLO) N.º 05/2019, COM A SEGUINTE EMENTA: &#8220;PROÍBE O ACÚMULO DAS FUNÇÕES DE MOTORISTA DE ÔNIBUS E COBRADOR DE TARIFAS NO TRANSPORTE PÚBLICO COLETIVO DO MUNICÍPIO DO RECIFE&#8221;; ALTERAÇÃO DE VOTO, PELA APROVAÇÃO. *DELIBERADO ATRAVÉS DO SISTEMA DE DELIBERAÇÃO REMOTA (VIDE RESOLUÇÕES Nº 2728/20 E 2730/20)*",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=99017,03/08/2020
Aditamento a Parecer 1/2020,None,"DA COMISSÃO DE LEGISLAÇÃO E JUSTIÇA SOBRE O PROJETO DE LEI ORDINÁRIA PLO N.º 58/2020, QUE DETERMINA QUE ESTABELECIMENTOS PRIVADOS INSTALADOS NO MUNICÍPIO DO RECIFE CONSIDERADOS COMO DE SERVIÇOS ESSENCIAIS FORNEÇAM MÁSCARAS, ÁLCOOL 70% E DISPONHAM DE PIA COM ÁGUA E SABÃO EM LOCAL DE FÁCIL ACESSO AOS SEUS FUNCIONÁRIOS; PELA APROVAÇÃO COM A EMENDA MODIFICATIVA.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=96382,29/05/2020
Aditamento a Parecer 11/2019,None,"ADITAMENTO DA COMISSÃO DE LEGISLAÇÃO E JUSTIÇA AO PARECER 364/2019-CLJ, APROVANDO AGORA O SUBSTITUTIVO Nº 01/19 AO  PLO 129/2019 - DE AUTORIAS DO VEREADOR GILBERTO ALVES.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=93691,17/12/2019
Aditamento a Parecer 10/2019,None,ADITAMENTO AO PARECER 1003/2019-CLJ SOBRE O PLE 36/2019.,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=93359,06/12/2019
Aditamento a Parecer 9/2019,None,"DA COMISSÃO DE FINANÇAS E ORÇAMENTO SOBRE O PROJETO DE LEI DO EXECUTIVO (PLE) N.º 36/2019, QUE ALTERA DISPOSITIVOS DA LEI Nº 15.563, DE 27 DE DEZEMBRO DE 1991 - CÓDIGO TRIBUTÁRIO MUNICIPAL, DA LEI Nº 18.276, DE 2 DEZEMBRO DE 2016 E DA LEI Nº 17.944, DE 9 DEZEMBRO DE 2013; PELA APROVAÇÃO, COM EMENDA.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=93325,04/12/2019
Aditamento a Parecer 8/2019,None,"DA COMISSÃO DE LEGISLAÇÃO E JUSTIÇA SOBRE O PROJETO DE LEI ORDINÁRIA PLO N.º 158/2019, QUE DISPÕE SOBRE A PROIBIÇÃO DA DISTRIBUIÇÃO E DA VENDA DE SACOLAS PLÁSTICAS AOS CONSUMIDORES EM TODOS OS ESTABELECIMENTOS COMERCIAIS DO MUNICÍPIO DO RECIFE; PELA APROVAÇÃO DO SUBSTITUTIVO DA RELATORIA.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=92743,12/11/2019
Aditamento a Parecer 7/2019,None,"ADITAMENTO CLJ AO PARECER Nº 360/2017-CLJ, SOBRE O PLO 41/2017 DE AUTORIA DO VER. CARLOS GUEIROS.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=92435,01/11/2019
Aditamento a Parecer 6/2019,None,PARECER DA CECTE OPINANDO PELA APROVÇÃO DO PLO N: 212/2019 E EMENDA MODIFICATIVA,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=92392,31/10/2019
Aditamento a Parecer 5/2019,None,ADITAMENTO AO PARECER Nº 727/19 OPINANDO PELA APROVAÇÃO PLO 212/2019 E EMENDA MODIFICATIVA Nº 01/19.,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=92370,30/10/2019
Aditamento a Parecer 4/2019,None,"ADITAMENTO CLJ AO PARECER Nº 1150/2017-CLJ, SOBRE O PLO 188/2017  DE AUTORIA DO VER. IVAN MORAES.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=90713,10/09/2019
Aditamento a Parecer 3/2019,None,"ADITAMENTO DA CLJ AO PARECER Nº 358/19-CLJ, OPINANDO PELA APROVAÇÃO DAS EMENDAS ADITIVA Nº 01/19, MODIFICATIVA Nº 02/19 E SUPRESSIVA Nº 03/19, TODAS DE AUTORIA DA VER. ALINE MARIANO, APRESENTADAS EM PLENÁIO, AO PLO NºS PLO 34/2017 DE SUA AUTORIA.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=90702,10/09/2019
Aditamento a Parecer 2/2019,None,"DA COMISSÃO DE ACESSIBILIDADE E MOBILIDADE URBANA SOBRE O SUBSTITUTIVO 01/2019, AO PROJETO DE LEI Nº 360/2017, QUE DISPÕE SOBRE A OBRIGATORIEDADE DE CLIMATIZAÇÃO DOS VEÍCULOS QUE OPERAM LINHAS DO SISTEMA DE TRANSPORTE PÚBLICO DE PASSAGEIROS DO RECIFE &#8211; STPP/RECIFE.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=87615,24/05/2019
Aditamento a Parecer 1/2019,None,Aditamento ao Parecer ao PLO 116/2017,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=87442,20/05/2019
Aditamento a Parecer 6/2016,None,"ADITAMENTO AO PARECER Nº 488/2016, AO PLE Nº 29/16 DE AUTORIA DO EXMO. CHEFE DO EXECUTIVO.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=63057,28/12/2016
Aditamento a Parecer 5/2016,None,"TERMO ADITIVO AO PARECER 487/2016 AO PLE 29/2016, DE AUTORIA DO EXMO. CHEFE DO EXECUTIVO.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=63058,28/12/2016
Aditamento a Parecer 4/2016,None,ADITAMENTO DA CLJ AO PARECER Nº 826/15-CLJ REFERENTE ANÁLISE AO PLO190/2015 DE AUTORIA DA VER. MICHELE COLLINS.,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=63023,27/12/2016
