Nome,Endereço,Cidade,Estado,CEP,Telefone,Site,Atividades
ARGEPLAN – ARQUITETURA E ENGENHARIA LTDA,"RUA JUATUBA, 68, VILA MADALENA",SAO PAULO,SP,05441-030,11 3673-5455,www.argeplan.com.br,arquitetura;engenharia;estudos e projetos;gerenciamento;paisagismo;planejamento
ARQUITETO PEDRO TADDEI E ASSOCIADOS SS LTDA,"RUA PEDROSO ALVARENGA, 1177, CJ 11 ITAIM BIBI",SAO PAULO,SP,04531-012,11 3031-1225,,arquitetura
ARQUITETOS ASSOCIADOS DELBERG P LEON SS – EPP,"RUA PEREIRA VALENTE, 1645, VARJOTA  .COM.BR",FORTALEZA,CE,60160-250,85 3244-1333,WWW.DELBERGARQUITETOS,arquitetura;estudos e projetos;paisagismo
ARQUITETURA JULIO NEVES LTDA,"RUA GAL MENA BARRETO, 427, JD PAULISTA",SAO PAULO,SP,01433-901,11 3885-7677,,arquitetura
ARTIFICIO ARQUITETURA E PLANEJAMENTO LTDA,"RUA GOMES DE MEDEIROS, 176, VILA BEATRIZ",SAO PAULO,SP,05447-030,11 3032-1083,www.artificio.arq.br,arquitetura;estudos e projetos;planejamento
ASTEC ENGENHARIA LTDA,"ST SRTVS QD 701 BLOCO B SL 614, ASA SUL",BRASILIA,DF,70340-907,17 2137-1666,WWW.ASTEC.ENG.BR,arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;planejamento
ASTEC ENGENHARIA LTDA,"RUA ANTONIO FREDERICO OZANAN, 157, REDENTORA",ADAMANTINA,SP,15015-430,17 2137-1666,,controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento
ASTEC ENGENHARIA LTDA,"RUA DOM PEDRO II, 637, CENTRO",PORTO VELHO,RO,78900-000,17 2137-1666,WWW.ASTEC.ENG.BR,arquitetura;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;planejamento
ASTEP – ENGENHARIA LTDA,"RUA PE TEOFILO TWORZ, 161, CASA PRADO",RECIFE,PE,50830-080,81 2102-3232,,controles tecnológicos;engenharia;estudos e projetos;geotecnia;inspeção;topografia
ATNAS ENGENHARIA LTDA,"RUA MARIZ E BARROS, 383, ICARAI",NITEROI,RJ,24220-120,21 2611-7552,WWW.ATNAS.COM.BR,gerenciamento;planejamento
ATP ENERGIA LTDA,"AV CONSUL VILARES FRAGOSO 291C, BONGI",RECIFE,PE,52060-200,81 3265-4239,WWW.ATPENERGIA.COM.BR,estudos e projetos;geotecnia;planejamento
ATP ENGENHARIA LTDA,"RUA ALFREDO FERNANDES, 115, CASA CASA FORTE",RECIFE,PE,52060-320,81 3878-4000,www.atp.eng.br,engenharia;estudos e projetos
AUSENCO DO BRASIL ENGENHARIA LTDA,"RUA KEPLER, 970 SANTA LÚCIA – BELO HORIZONTE – MG FONE: (31) 32285400",,,30360-536,,www.ausenco.com,engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;planejamento
AUTOGRAFICS ARQUITETURA E PLANEJAMENTO LTDA,"RUA DECIO VILARES, 241, 302 COPACABANA",RIO DE JANEIRO,RJ,22041-040,21 2215-0171,,arquitetura;estudos e projetos;gerenciamento;paisagismo;planejamento
AUTOMIND AUTOMACAO  IND PROD E SERV TECNICO LTDA,"RUA MANUEL BARRETO 701, CASA GRACA",SALVADOR,BA,40150-360,71 3331-3271,,controles tecnológicos;engenharia;estudos e projetos;gerenciamento;planejamento
AVANTEC ENGENHARIA LTDA EPP,"RUA LAURO FERREIRA PINTO 677, BOX 35 CENTRO",ALFREDO CHAVES,ES,29240-000,,,aerofotogrametria;arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento;topografia
BCP ENGENHARIA LTDA,"AV. TANCREDO NEVES, 1283, SL. 1101/1102 PITUBA",SALVADOR,BA,41820-021,71 3341-9144,WWW.BCPENGENHARIA.COM,engenharia;estudos e projetos;gerenciamento;planejamento
BELBA – ENGENHEIROS CONSULTORES LTDA,"RUA ALMIRANTE ALEXANDRINO, 118, GUTIERREZ",BELO HORIZONTE,MG,30441-036,31 3291-0606,,engenharia;estudos e projetos;geotecnia;gerenciamento;planejamento;topografia
BIT ENGENHARIA LTDA,"RUA OLIMPIADAS, 100, 2 AND VILA OLIMPIA",SAO PAULO,SP,04551-000,11 3048-9300,,engenharia;estudos e projetos;gerenciamento;inspeção;planejamento
BONIN ENGENHARIA DE AVALIACOES S/S LTDA,"RUA DOM JAIME CAMARA 179, SALA 908 CENTRO",FLORIANOPOLIS,SC,88015-120,48 3224-5985,,engenharia;estudos e projetos
